win,rows,stopped,mean_spd,zone,link,center,rows_L1,stopped_L1,spd_L1
30,520,0,100.83936,10646_RFW,26,6073,136,0,81.65566
31,573,2,96.164604,10646_RFW,26,6073,147,0,76.91224
32,519,0,105.97212,10646_RFW,26,6073,132,0,89.88553
33,519,0,102.47759,10646_RFW,26,6073,148,0,85.21378
34,525,0,99.30463,10646_RFW,26,6073,154,0,78.12585
35,640,1,97.34892,10646_RFW,26,6073,196,0,80.86847
1,206,0,105.40355,10644_RFW,26,6774,55,0,70.53855
2,562,0,88.765465,10644_RFW,26,6774,171,0,59.72795
3,649,3,85.124084,10644_RFW,26,6774,164,3,54.292927
4,923,9,69.1052,10644_RFW,26,6774,263,4,55.618214
5,686,0,86.29399,10644_RFW,26,6774,208,0,57.158028
6,731,1,87.096634,10644_RFW,26,6774,168,0,65.88839
7,777,2,80.66252,10644_RFW,26,6774,222,1,58.101486
8,1069,8,72.922615,10644_RFW,26,6774,282,1,57.343018
9,1021,6,76.26024,10644_RFW,26,6774,289,5,55.407684
10,843,6,67.058136,10644_RFW,26,6774,257,5,46.10214
11,1022,14,70.73885,10644_RFW,26,6774,267,9,47.877563
12,766,0,84.61008,10644_RFW,26,6774,191,0,56.275967
13,739,0,83.23053,10644_RFW,26,6774,264,0,49.752422
14,801,0,84.58013,10644_RFW,26,6774,229,0,54.631046
15,1003,5,71.06074,10644_RFW,26,6774,275,2,48.31782
16,690,1,81.06188,10644_RFW,26,6774,181,0,55.527016
17,814,4,79.53181,10644_RFW,26,6774,253,4,46.929405
18,797,0,75.290054,10644_RFW,26,6774,257,0,49.27249
19,735,1,81.59415,10644_RFW,26,6774,225,1,51.250534
20,671,0,75.44102,10644_RFW,26,6774,205,0,41.665367
21,525,0,86.68634,10644_RFW,26,6774,162,0,47.529198
22,672,7,77.6492,10644_RFW,26,6774,176,6,51.99807
23,659,0,82.53445,10644_RFW,26,6774,187,0,53.86417
24,908,5,76.17416,10644_RFW,26,6774,299,3,52.539898
25,705,0,84.67197,10644_RFW,26,6774,204,0,63.16078
26,562,0,85.50747,10644_RFW,26,6774,144,0,59.26271
27,824,2,73.749016,10644_RFW,26,6774,194,2,54.316185
28,549,0,96.325195,10644_RFW,26,6774,134,0,59.861866
29,519,0,95.68927,10644_RFW,26,6774,131,0,61.23214
30,646,1,83.81299,10644_RFW,26,6774,216,0,53.107315
31,498,0,96.37906,10644_RFW,26,6774,136,0,56.822205
32,504,0,94.349144,10644_RFW,26,6774,135,0,73.533035
33,511,0,102.95826,10644_RFW,26,6774,107,0,72.0943
34,520,0,90.56136,10644_RFW,26,6774,130,0,56.969383
35,563,1,98.817245,10644_RFW,26,6774,130,1,68.460464
0,21,0,132.02858,10639_RFE,2,1876,5,0,131.512
1,667,2,104.260216,10639_RFE,2,1876,258,1,88.34368
2,886,18,87.15851,10639_RFE,2,1876,356,12,70.01104
3,1536,290,52.734272,10639_RFE,2,1876,822,279,25.530281
4,1325,210,56.85331,10639_RFE,2,1876,766,209,25.092728
5,1872,474,41.496143,10639_RFE,2,1876,1016,440,15.092982
6,2133,610,34.18993,10639_RFE,2,1876,1268,597,10.910663
7,1976,466,39.60675,10639_RFE,2,1876,1099,458,14.40031
8,2075,618,35.36398,10639_RFE,2,1876,1262,613,10.805214
9,2386,857,27.815315,10639_RFE,2,1876,1448,835,7.2835984
10,2317,949,26.008148,10639_RFE,2,1876,1514,938,6.9090953
11,2542,1042,24.824413,10639_RFE,2,1876,1555,1013,6.2402506
12,2815,1366,18.118898,10639_RFE,2,1876,1774,1310,3.6529481
13,3406,1663,18.413767,10639_RFE,2,1876,1785,1352,3.8428292
14,3213,1899,15.459963,10639_RFE,2,1876,1608,1117,6.2779727
15,4117,2373,12.097938,10639_RFE,2,1876,1664,1140,5.033396
16,4712,2875,10.022368,10639_RFE,2,1876,1518,1034,6.206818
17,4767,2902,10.001745,10639_RFE,2,1876,1698,1241,3.7123969
18,5279,3304,8.972855,10639_RFE,2,1876,1551,1000,5.814268
19,5114,3247,8.576721,10639_RFE,2,1876,1684,1181,4.2017875
20,5186,2974,9.791968,10639_RFE,2,1876,1543,995,5.3006806
21,5355,3441,8.249939,10639_RFE,2,1876,1578,1145,4.0490303
22,5749,4090,7.3623137,10639_RFE,2,1876,1725,1418,2.6556
23,5359,3597,8.148041,10639_RFE,2,1876,1648,1197,3.921505
24,5582,3680,7.876878,10639_RFE,2,1876,1747,1292,3.9287748
25,5355,3435,8.819869,10639_RFE,2,1876,1528,1010,6.080942
26,5429,3600,8.388494,10639_RFE,2,1876,1701,1244,4.1602645
27,5687,3810,7.6558223,10639_RFE,2,1876,1723,1272,3.7744863
28,5511,3553,8.162137,10639_RFE,2,1876,1755,1290,3.7973847
29,5151,3288,8.317705,10639_RFE,2,1876,1796,1501,2.3897104
30,5390,3482,8.701116,10639_RFE,2,1876,1486,1013,5.9168844
31,5440,3478,9.023933,10639_RFE,2,1876,1494,979,6.024913
32,4979,3014,10.798184,10639_RFE,2,1876,1326,717,8.786576
33,4738,2992,9.539548,10639_RFE,2,1876,1732,1273,3.6186087
34,4908,3171,8.984558,10639_RFE,2,1876,1813,1436,2.8842857
35,5115,3321,8.334141,10639_RFE,2,1876,1585,1126,4.5407066
0,9,0,135.59222,10681_RFE,2,2165,1,0,130.84
1,529,2,102.5472,10681_RFE,2,2165,136,1,71.1572
2,818,17,80.31666,10681_RFE,2,2165,251,11,57.569004
3,1070,116,64.37481,10681_RFE,2,2165,409,105,34.161392
4,866,93,73.44068,10681_RFE,2,2165,362,92,31.86395
5,1285,243,52.517593,10681_RFE,2,2165,509,210,23.71112
6,1282,184,53.87702,10681_RFE,2,2165,505,170,26.639624
7,1090,122,64.12874,10681_RFE,2,2165,431,117,31.375498
8,1334,223,51.56645,10681_RFE,2,2165,561,218,22.968092
9,1330,292,45.503693,10681_RFE,2,2165,610,270,20.226967
10,1150,187,51.663956,10681_RFE,2,2165,495,181,22.90487
11,1217,324,44.48276,10681_RFE,2,2165,574,306,14.82331
12,1300,411,36.15014,10681_RFE,2,2165,635,373,12.140425
13,1840,634,32.71278,10681_RFE,2,2165,667,358,17.667032
14,1487,722,30.39513,10681_RFE,2,2165,501,156,22.233253
15,1660,795,24.280785,10681_RFE,2,2165,597,311,11.52928
16,2139,964,21.782356,10681_RFE,2,2165,602,244,19.127825
17,2061,1037,20.167093,10681_RFE,2,2165,586,329,12.569471
18,2248,1140,19.342625,10681_RFE,2,2165,555,227,16.146486
19,2258,1177,18.188011,10681_RFE,2,2165,591,288,14.116312
20,2249,1134,19.192778,10681_RFE,2,2165,580,270,14.028879
21,2184,1376,16.840715,10681_RFE,2,2165,562,335,8.554271
22,2194,1370,18.253523,10681_RFE,2,2165,589,360,9.321273
23,2169,1280,17.814398,10681_RFE,2,2165,575,323,10.373218
24,2175,1222,19.323816,10681_RFE,2,2165,581,314,11.117728
25,2040,1176,20.448065,10681_RFE,2,2165,529,236,15.534612
26,2041,1289,19.24925,10681_RFE,2,2165,517,270,11.273579
27,2051,1290,18.088406,10681_RFE,2,2165,562,309,9.474235
28,2043,1210,19.497972,10681_RFE,2,2165,589,326,10.74832
29,2022,1229,17.493532,10681_RFE,2,2165,613,401,8.975286
30,1976,1176,21.87605,10681_RFE,2,2165,495,234,16.110222
31,1962,1113,21.312965,10681_RFE,2,2165,484,219,13.720619
32,1987,1130,22.995596,10681_RFE,2,2165,426,122,20.494038
33,1927,1124,20.277218,10681_RFE,2,2165,527,270,9.135294
34,2075,1264,17.944183,10681_RFE,2,2165,666,444,8.621817
35,2046,1225,17.681301,10681_RFE,2,2165,525,272,12.17421
1,191,0,83.73445,10490_RDE,2,4414,92,0,62.19511
2,393,0,105.00532,10490_RDE,2,4414,146,0,84.866234
3,414,1,101.63711,10490_RDE,2,4414,134,0,82.87985
4,427,3,104.503914,10490_RDE,2,4414,147,1,86.54945
5,408,0,102.867004,10490_RDE,2,4414,167,0,81.20221
6,454,1,103.10623,10490_RDE,2,4414,188,1,85.30069
7,494,1,96.322266,10490_RDE,2,4414,176,1,75.16409
8,561,3,91.413925,10490_RDE,2,4414,215,3,68.224236
9,461,0,98.86291,10490_RDE,2,4414,181,0,81.34608
10,427,1,96.37342,10490_RDE,2,4414,164,1,77.61183
11,377,0,92.9513,10490_RDE,2,4414,167,0,74.78162
12,347,0,106.895645,10490_RDE,2,4414,111,0,91.59991
13,366,2,87.338165,10490_RDE,2,4414,139,2,67.604965
14,362,0,93.20127,10490_RDE,2,4414,95,0,68.18421
15,283,0,88.17816,10490_RDE,2,4414,120,0,59.953835
16,353,0,90.91512,10490_RDE,2,4414,109,0,59.479263
17,314,0,89.20946,10490_RDE,2,4414,77,0,57.8013
18,311,0,87.10032,10490_RDE,2,4414,125,0,56.92888
19,241,0,87.82117,10490_RDE,2,4414,73,0,52.986027
20,303,0,88.78017,10490_RDE,2,4414,104,0,57.381157
21,343,0,94.09271,10490_RDE,2,4414,134,0,67.59321
22,220,0,100.997185,10490_RDE,2,4414,68,0,77.506325
23,373,0,86.73734,10490_RDE,2,4414,144,0,67.72347
24,255,0,93.77294,10490_RDE,2,4414,97,0,68.27722
25,294,0,88.49248,10490_RDE,2,4414,94,0,52.531174
26,286,0,83.30916,10490_RDE,2,4414,113,0,56.69469
27,291,0,89.14062,10490_RDE,2,4414,130,0,69.71961
28,200,0,94.886345,10490_RDE,2,4414,77,0,68.339745
29,279,0,84.07502,10490_RDE,2,4414,123,0,59.155365
30,279,0,90.666885,10490_RDE,2,4414,112,0,61.59313
31,233,0,96.62807,10490_RDE,2,4414,83,0,70.86085
32,225,0,97.878136,10490_RDE,2,4414,70,0,71.57815
33,331,0,92.077126,10490_RDE,2,4414,96,0,70.29719
34,251,0,92.51861,10490_RDE,2,4414,82,0,67.77439
35,243,0,91.30666,10490_RDE,2,4414,88,0,72.17375
0,9,0,40.99222,10484_RDE,24,10,9,0,40.99222
1,157,0,59.225094,10484_RDE,24,10,88,0,39.1033
2,296,0,73.45253,10484_RDE,24,10,106,0,37.506603
3,334,0,78.47671,10484_RDE,24,10,126,0,41.814285
4,278,0,80.42622,10484_RDE,24,10,99,0,39.993435
5,265,0,79.850494,10484_RDE,24,10,106,0,40.839714
6,256,1,85.62043,10484_RDE,24,10,93,1,42.87312
7,410,2,66.109955,10484_RDE,24,10,162,0,42.295124
8,480,1,67.79208,10484_RDE,24,10,194,1,42.60273
9,400,1,70.111145,10484_RDE,24,10,149,1,41.578457
10,368,0,66.27603,10484_RDE,24,10,175,0,40.930573
11,335,0,66.20761,10484_RDE,24,10,132,0,39.60053
12,273,0,77.91088,10484_RDE,24,10,115,0,47.08913
13,347,0,58.203777,10484_RDE,24,10,132,0,38.650833
14,363,0,65.22228,10484_RDE,24,10,125,0,37.722557
15,274,0,64.7835,10484_RDE,24,10,139,0,39.17252
16,392,0,61.372017,10484_RDE,24,10,156,0,38.89141
17,343,0,61.374084,10484_RDE,24,10,147,0,39.137142
18,276,0,64.95808,10484_RDE,24,10,140,0,41.136356
19,264,0,64.68511,10484_RDE,24,10,116,0,38.590862
20,305,0,65.26033,10484_RDE,24,10,151,0,39.799667
21,339,0,63.585697,10484_RDE,24,10,167,0,40.805332
22,239,0,69.95381,10484_RDE,24,10,130,0,41.688538
23,358,0,59.883907,10484_RDE,24,10,144,0,37.550625
24,240,0,62.763042,10484_RDE,24,10,97,0,38.055256
25,317,1,63.764355,10484_RDE,24,10,146,1,40.0687
26,196,0,70.1448,10484_RDE,24,10,93,0,41.032043
27,267,0,62.110752,10484_RDE,24,10,166,0,40.21422
28,219,0,61.637856,10484_RDE,24,10,126,0,39.4904
29,249,0,62.6145,10484_RDE,24,10,150,0,40.664803
30,284,0,64.665596,10484_RDE,24,10,156,0,41.013718
31,223,0,67.63911,10484_RDE,24,10,129,0,39.771008
32,184,0,74.49043,10484_RDE,24,10,72,0,39.702225
33,263,1,73.21703,10484_RDE,24,10,116,1,41.52336
34,236,0,70.18513,10484_RDE,24,10,102,0,39.361176
35,186,0,67.88129,10484_RDE,24,10,86,0,39.079185
