no,role,link,lane_ref,pos
87,freeway_mainline_speed_decision,26,26 1,4041.6349044745502
88,freeway_mainline_speed_decision,26,26 2,4041.6349044745502
89,freeway_mainline_speed_decision,26,26 3,4041.6349044745502
90,freeway_mainline_speed_decision,26,26 4,4041.6349044745502
91,freeway_mainline_speed_decision,26,26 1,5388.8465392994
92,freeway_mainline_speed_decision,26,26 2,5388.8465392994
93,freeway_mainline_speed_decision,26,26 3,5388.8465392994
94,freeway_mainline_speed_decision,26,26 4,5388.8465392994
95,freeway_mainline_speed_decision,26,26 1,6736.05817412425
96,freeway_mainline_speed_decision,26,26 2,6736.05817412425
97,freeway_mainline_speed_decision,26,26 3,6736.05817412425
98,freeway_mainline_speed_decision,26,26 4,6736.05817412425
99,freeway_mainline_speed_decision,26,26 1,8083.2698089491005
100,freeway_mainline_speed_decision,26,26 2,8083.2698089491005
101,freeway_mainline_speed_decision,26,26 3,8083.2698089491005
102,freeway_mainline_speed_decision,26,26 4,8083.2698089491005
103,freeway_mainline_speed_decision,26,26 1,9430.481443773951
104,freeway_mainline_speed_decision,26,26 2,9430.481443773951
105,freeway_mainline_speed_decision,26,26 3,9430.481443773951
106,freeway_mainline_speed_decision,26,26 4,9430.481443773951
