line_number,byte_offset,raw_line_sha256,message,kind,time_sec,wait_sec,vehicle_id,route_decision,route_index,link,position_m,omega,terminal_inside,physical_input_source_link
98,18522,ebdfc66635636b1734bb7b271efaa4d4684ee07866cbeb1e4f6c4f918922d9e2,Warning	Simulation second 1119.0: After 45.0 seconds of waiting for lane change the vehicle 2858 (on Static Vehicle Route 1159 - 1) was removed from link 310 at position 85.8.	Network object type: Vehicle	Network object keys: 2858,lane_change_removal,1119.0,45.0,2858,1159,1,310,85.8,outside,False,False
99,18772,6f7b5343ca135b9cf32575801a20010392d766900121433c5250145cf1a46c45,Warning	Simulation second 1128.0: After 45.0 seconds of waiting for lane change the vehicle 2464 (on Static Vehicle Route 1113 - 3) was removed from link 329 at position 113.0.	Network object type: Vehicle	Network object keys: 2464,lane_change_removal,1128.0,45.0,2464,1113,3,329,113.0,inside,False,False
108,20521,13f4d4aa8272494bf2d994632c8ee65858398e21a9acf9e541b2120bc1057c6e,Warning	Simulation second 1174.0: After 45.0 seconds of waiting for lane change the vehicle 4517 (on Static Vehicle Route 1143 - 3) was removed from link 84 at position 43.6.	Network object type: Vehicle	Network object keys: 4517,lane_change_removal,1174.0,45.0,4517,1143,3,84,43.6,outside,False,False
109,20770,fbb12f35b49d1be0d111330e47e0524215880dd6a7fffa4e7529e68980635062,Warning	Simulation second 1177.0: After 45.0 seconds of waiting for lane change the vehicle 3289 (on Static Vehicle Route 1113 - 3) was removed from link 329 at position 113.0.	Network object type: Vehicle	Network object keys: 3289,lane_change_removal,1177.0,45.0,3289,1113,3,329,113.0,inside,False,False
114,21791,62404555f7a2724f5659a6f66f950a5cdeee858cb7f9c2a20f21bc6ec29b5d97,Warning	Simulation second 1244.0: After 45.0 seconds of waiting for lane change the vehicle 3169 (on Static Vehicle Route 1113 - 3) was removed from link 329 at position 113.0.	Network object type: Vehicle	Network object keys: 3169,lane_change_removal,1244.0,45.0,3169,1113,3,329,113.0,inside,False,False
115,22042,6bf77915fbb1910031866c9e2588b93f57c4f1611aea0e7762c2e40a8e006fad,Warning	Simulation second 1249.0: After 45.0 seconds of waiting for lane change the vehicle 3399 (on Static Vehicle Route 1159 - 1) was removed from link 310 at position 93.3.	Network object type: Vehicle	Network object keys: 3399,lane_change_removal,1249.0,45.0,3399,1159,1,310,93.3,outside,False,False
127,24285,427b92190e8fc692dde8abab35d2a1181d5de3f3cfca6a983f2311c8cd58cac6,Warning	Simulation second 1293.0: After 45.0 seconds of waiting for lane change the vehicle 2440 (on Static Vehicle Route 1113 - 3) was removed from link 329 at position 113.0.	Network object type: Vehicle	Network object keys: 2440,lane_change_removal,1293.0,45.0,2440,1113,3,329,113.0,inside,False,False
142,27059,b23688ca2ca7896f7a5df054fbd414f361aab8a1444bb81c4d9089ea451b75cc,Warning	Simulation second 1326.0: After 45.0 seconds of waiting for lane change the vehicle 2777 (on Static Vehicle Route 1140 - 1) was removed from link 71 at position 73.4.	Network object type: Vehicle	Network object keys: 2777,lane_change_removal,1326.0,45.0,2777,1140,1,71,73.4,inside,False,False
144,27505,e33b97b4bb22a6b53f1d5110bc7486a38cad28a215621204b8b155ee1fde30d2,Warning	Simulation second 1342.0: After 45.0 seconds of waiting for lane change the vehicle 3902 (on Static Vehicle Route 1113 - 3) was removed from link 329 at position 113.0.	Network object type: Vehicle	Network object keys: 3902,lane_change_removal,1342.0,45.0,3902,1113,3,329,113.0,inside,False,False
145,27756,23ee3d7f29a2ad67976706ee75242cd4a79336bee004402f71f3ca4f7053064a,Warning	Simulation second 1349.0: After 45.0 seconds of waiting for lane change the vehicle 5545 (on Static Vehicle Route 1159 - 1) was removed from link 310 at position 93.3.	Network object type: Vehicle	Network object keys: 5545,lane_change_removal,1349.0,45.0,5545,1159,1,310,93.3,outside,False,False
150,28786,a0cf4e50f6892f54c6c26ef1cfd336306377e3bae5fdc33024811b9d2b5eadb5,Warning	Simulation second 1379.0: After 45.0 seconds of waiting for lane change the vehicle 6638 (on Static Vehicle Route 1138 - 2) was removed from link 71 at position 76.2.	Network object type: Vehicle	Network object keys: 6638,lane_change_removal,1379.0,45.0,6638,1138,2,71,76.2,inside,False,False
156,30028,9454cee8372e00a0cf89230c47696163b5ce06ea96ff0254f7d88ed25cb71c20,Warning	Simulation second 1398.0: After 45.0 seconds of waiting for lane change the vehicle 5351 (on Static Vehicle Route 1159 - 1) was removed from link 310 at position 93.3.	Network object type: Vehicle	Network object keys: 5351,lane_change_removal,1398.0,45.0,5351,1159,1,310,93.3,outside,False,False
158,30475,66bde56a8093de9a21b35846a4518b36dd361dae670f027f3b6ede2f596b23b1,Warning	Simulation second 1402.0: After 45.0 seconds of waiting for lane change the vehicle 4799 (on Static Vehicle Route 1113 - 3) was removed from link 329 at position 113.0.	Network object type: Vehicle	Network object keys: 4799,lane_change_removal,1402.0,45.0,4799,1113,3,329,113.0,inside,False,False
159,30726,ae756cc5c37aa4bb0a062c2dd1dabb2958ffc3edd4b157c618eed5b33f3a6c84,Warning	Simulation second 1404.0: After 45.0 seconds of waiting for lane change the vehicle 3134 (on Static Vehicle Route 1024 - 3: 우) was removed from link 1220014100 at position 113.2.	Network object type: Vehicle	Network object keys: 3134,lane_change_removal,1404.0,45.0,3134,1024,3,1220014100,113.2,inside,False,False
165,31915,5ebcdde4a7dd9daaecaebe51aa50291da36095c20159b29c0f1365df6f532614,Warning	Simulation second 1434.0: After 45.0 seconds of waiting for lane change the vehicle 7980 (on Static Vehicle Route 1138 - 3) was removed from link 71 at position 20.0.	Network object type: Vehicle	Network object keys: 7980,lane_change_removal,1434.0,45.0,7980,1138,3,71,20.0,inside,False,False
174,33681,7b07f25808cd39724195d16ac76e54c747cdbb6a3295be20385d2eca45a13518,Warning	Simulation second 1451.0: After 45.0 seconds of waiting for lane change the vehicle 4512 (on Static Vehicle Route 1113 - 3) was removed from link 329 at position 113.0.	Network object type: Vehicle	Network object keys: 4512,lane_change_removal,1451.0,45.0,4512,1113,3,329,113.0,inside,False,False
182,35202,d62a12f7fe4a682b4590898ddd17de142fbb2f558288332cfc209f1fff69649a,Warning	Simulation second 1469.0: After 45.0 seconds of waiting for lane change the vehicle 4639 (on Static Vehicle Route 1159 - 1) was removed from link 310 at position 93.3.	Network object type: Vehicle	Network object keys: 4639,lane_change_removal,1469.0,45.0,4639,1159,1,310,93.3,outside,False,False
186,36024,cb8d2683bbceb3dea71c6765454fdb4cce8508d744e2c107d4094271a3eebbb0,Warning	Simulation second 1499.0: After 45.0 seconds of waiting for lane change the vehicle 5057 (on Static Vehicle Route 1113 - 3) was removed from link 329 at position 113.0.	Network object type: Vehicle	Network object keys: 5057,lane_change_removal,1499.0,45.0,5057,1113,3,329,113.0,inside,False,False
191,37021,0f89398ffef73a42ccc518016c4c2ac70f9cd6340d8eb17f860f5744739bdc80,Warning	Simulation second 1518.0: After 45.0 seconds of waiting for lane change the vehicle 5651 (on Static Vehicle Route 1159 - 1) was removed from link 310 at position 93.3.	Network object type: Vehicle	Network object keys: 5651,lane_change_removal,1518.0,45.0,5651,1159,1,310,93.3,outside,False,False
199,38538,343d42b63332e05bca3ccbc29cd4b6f086095d17f6398ec0eb497ca71405d8b7,Warning	Simulation second 1548.0: After 45.0 seconds of waiting for lane change the vehicle 4553 (on Static Vehicle Route 1113 - 3) was removed from link 329 at position 113.0.	Network object type: Vehicle	Network object keys: 4553,lane_change_removal,1548.0,45.0,4553,1113,3,329,113.0,inside,False,False
212,41023,8ba9fb698576918d11f163ecce908d8da77365324c82fda01051c16c9d468663,Warning	Simulation second 1597.0: After 45.0 seconds of waiting for lane change the vehicle 5039 (on Static Vehicle Route 1113 - 3) was removed from link 329 at position 113.0.	Network object type: Vehicle	Network object keys: 5039,lane_change_removal,1597.0,45.0,5039,1113,3,329,113.0,inside,False,False
224,43066,cc4d17e2c1ddac0257100930550ca14416aea32fc6c3878329f040edb5768dcb,Warning	Simulation second 1624.0: After 45.0 seconds of waiting for lane change the vehicle 2734 (on Static Vehicle Route 1149 - 1) was removed from link 87 at position 58.5.	Network object type: Vehicle	Network object keys: 2734,lane_change_removal,1624.0,45.0,2734,1149,1,87,58.5,outside,False,False
225,43315,fcd1c6d96ea8a9acef23434c8c16408da43dbb3219de7b63d6d8ac842f57e909,Warning	Simulation second 1624.0: After 45.0 seconds of waiting for lane change the vehicle 9194 (on Static Vehicle Route 1159 - 1) was removed from link 310 at position 85.8.	Network object type: Vehicle	Network object keys: 9194,lane_change_removal,1624.0,45.0,9194,1159,1,310,85.8,outside,False,False
226,43565,3df15b0a1e28533383c122249bd7e11357dd0288010ad39777161d49258d6795,Warning	Simulation second 1625.0: After 45.0 seconds of waiting for lane change the vehicle 9099 (on Static Vehicle Route 1159 - 1) was removed from link 310 at position 93.3.	Network object type: Vehicle	Network object keys: 9099,lane_change_removal,1625.0,45.0,9099,1159,1,310,93.3,outside,False,False
231,44543,8ec1fbfdc32d6c6e5e6c5a374e321650a533ada5580fb00e95a6e4cb43de59d5,Warning	Simulation second 1645.0: After 45.0 seconds of waiting for lane change the vehicle 3411 (on Static Vehicle Route 1113 - 3) was removed from link 329 at position 113.0.	Network object type: Vehicle	Network object keys: 3411,lane_change_removal,1645.0,45.0,3411,1113,3,329,113.0,inside,False,False
232,44794,dc4ffda23e38972f9d6a0dfbecb0b51c5c66702d48270ca545bed11c6caecc96,Warning	Simulation second 1665.0: After 45.0 seconds of waiting for lane change the vehicle 4295 (on Static Vehicle Route 1119 - 1) was removed from link 40 at position 1250.7.	Network object type: Vehicle	Network object keys: 4295,lane_change_removal,1665.0,45.0,4295,1119,1,40,1250.7,inside,False,False
234,45220,2818d3af31c8fa69331e2637aa2fa970f3ed57e670be76e2dcdba58ccd74f3d9,Warning	Simulation second 1672.0: After 45.0 seconds of waiting for lane change the vehicle 7740 (on Static Vehicle Route 1159 - 1) was removed from link 310 at position 85.8.	Network object type: Vehicle	Network object keys: 7740,lane_change_removal,1672.0,45.0,7740,1159,1,310,85.8,outside,False,False
235,45470,aae26f5bce4f940495e8d524c3640f7995014751660d921b7d524dc5c8dfe535,Warning	Simulation second 1673.0: After 45.0 seconds of waiting for lane change the vehicle 7141 (on Static Vehicle Route 1159 - 1) was removed from link 310 at position 93.3.	Network object type: Vehicle	Network object keys: 7141,lane_change_removal,1673.0,45.0,7141,1159,1,310,93.3,outside,False,False
238,46095,b8740fe54bd8e727718cf690f38d390041aecf818ef254391f301b7f169e9b4e,Warning	Simulation second 1694.0: After 45.0 seconds of waiting for lane change the vehicle 4005 (on Static Vehicle Route 1113 - 3) was removed from link 329 at position 113.0.	Network object type: Vehicle	Network object keys: 4005,lane_change_removal,1694.0,45.0,4005,1113,3,329,113.0,inside,False,False
241,46746,9b70c8a381f7e616067fd5f0fdda4a674c6f916f61bf0b844da496ac005b6156,Warning	Simulation second 1720.0: After 45.0 seconds of waiting for lane change the vehicle 7508 (on Static Vehicle Route 1159 - 1) was removed from link 310 at position 85.8.	Network object type: Vehicle	Network object keys: 7508,lane_change_removal,1720.0,45.0,7508,1159,1,310,85.8,outside,False,False
242,46996,12213496aad21b1f2efa0134a9115fbc7a9a8b448536aa1d0fd46a6bc843c532,Warning	Simulation second 1722.0: After 45.0 seconds of waiting for lane change the vehicle 6080 (on Static Vehicle Route 1159 - 1) was removed from link 310 at position 93.3.	Network object type: Vehicle	Network object keys: 6080,lane_change_removal,1722.0,45.0,6080,1159,1,310,93.3,outside,False,False
246,47782,c25efca084bde9ac66665a883d3350f3d79cacbc8c526bcf69a4e53758bca90a,Warning	Simulation second 1743.0: After 45.0 seconds of waiting for lane change the vehicle 5047 (on Static Vehicle Route 1113 - 3) was removed from link 329 at position 113.0.	Network object type: Vehicle	Network object keys: 5047,lane_change_removal,1743.0,45.0,5047,1113,3,329,113.0,inside,False,False
262,50818,df54728e540ac7c24383092b3ffbfd16f582f7ca19f0d3d92698370b4d67b7e9,Warning	Simulation second 1769.0: After 45.0 seconds of waiting for lane change the vehicle 4019 (on Static Vehicle Route 1159 - 1) was removed from link 310 at position 85.8.	Network object type: Vehicle	Network object keys: 4019,lane_change_removal,1769.0,45.0,4019,1159,1,310,85.8,outside,False,False
263,51068,8dbc63e7cfbe223d5afe6719df7b73097a49a550d0c9652166593b74bcb72f87,Warning	Simulation second 1772.0: After 45.0 seconds of waiting for lane change the vehicle 7871 (on Static Vehicle Route 1159 - 1) was removed from link 310 at position 93.3.	Network object type: Vehicle	Network object keys: 7871,lane_change_removal,1772.0,45.0,7871,1159,1,310,93.3,outside,False,False
269,52265,b8dfbdb0481a04f1cd8b71bfc86b592d111592f92f59d60077e7886f6b63efb4,Warning	Simulation second 1776.0: After 45.0 seconds of waiting for lane change the vehicle 11202 (on Static Vehicle Route 1142 - 1) was removed from link 80 at position 372.5.	Network object type: Vehicle	Network object keys: 11202,lane_change_removal,1776.0,45.0,11202,1142,1,80,372.5,outside,False,True
273,53090,1e3191463f0bc35ad75a6adbec73b843a1b22d0236daa16c5690824e20d697ff,Warning	Simulation second 1795.0: After 45.0 seconds of waiting for lane change the vehicle 8966 (on Static Vehicle Route 1119 - 1) was removed from link 40 at position 1250.7.	Network object type: Vehicle	Network object keys: 8966,lane_change_removal,1795.0,45.0,8966,1119,1,40,1250.7,inside,False,False
277,53869,5f94e20a53412bda834255be7ce63ffff0c0e8766055516a8b7f1642a10cb6c2,Warning	Simulation second 1819.0: After 45.0 seconds of waiting for lane change the vehicle 9222 (on Static Vehicle Route 1086 - 1: 좌) was removed from link 281 at position 28.0.	Network object type: Vehicle	Network object keys: 9222,lane_change_removal,1819.0,45.0,9222,1086,1,281,28.0,outside,False,False
278,54123,e5e5164c6eda912134a6aacf7acc6c99af2a780c6eca70c8e488f58cf9ccc767,Warning	Simulation second 1820.0: After 45.0 seconds of waiting for lane change the vehicle 7314 (on Static Vehicle Route 1159 - 1) was removed from link 310 at position 85.8.	Network object type: Vehicle	Network object keys: 7314,lane_change_removal,1820.0,45.0,7314,1159,1,310,85.8,outside,False,False
279,54373,5936c9e8853c8d6f72bcc79ab3db1b7d5d1d2904c970828911c9e3ca901633e9,Warning	Simulation second 1820.0: After 45.0 seconds of waiting for lane change the vehicle 7859 (on Static Vehicle Route 1159 - 1) was removed from link 310 at position 93.3.	Network object type: Vehicle	Network object keys: 7859,lane_change_removal,1820.0,45.0,7859,1159,1,310,93.3,outside,False,False
284,55393,c0a460ceb243c2ead6b58f6f790310b23570481ca1cc715d2d83e1817b17da9b,Warning	Simulation second 1847.0: After 45.0 seconds of waiting for lane change the vehicle 6200 (on Static Vehicle Route 1113 - 3) was removed from link 329 at position 113.0.	Network object type: Vehicle	Network object keys: 6200,lane_change_removal,1847.0,45.0,6200,1113,3,329,113.0,inside,False,False
285,55644,17268825fd6e796aa10e03f1834dab4490dd2434b9695d2e7b9cfe47f1ce1ef4,Warning	Simulation second 1849.0: After 45.0 seconds of waiting for lane change the vehicle 7552 (on Static Vehicle Route 1113 - 3) was removed from link 329 at position 108.0.	Network object type: Vehicle	Network object keys: 7552,lane_change_removal,1849.0,45.0,7552,1113,3,329,108.0,inside,False,False
286,55895,57eff43a5b5f0ba0feac80ccc4dca2e9a7da45337099b2f5e7515157b3f85fb7,Warning	Simulation second 1851.0: After 45.0 seconds of waiting for lane change the vehicle 12206 (on Static Vehicle Route 1157 - 3) was removed from link 117 at position 376.8.	Network object type: Vehicle	Network object keys: 12206,lane_change_removal,1851.0,45.0,12206,1157,3,117,376.8,outside,False,True
287,56148,ae4a7dbb4870647bc3a2c66d74f98808fb8cb05985465d20d71b3f30489257a7,Warning	Simulation second 1868.0: After 45.0 seconds of waiting for lane change the vehicle 5738 (on Static Vehicle Route 1159 - 1) was removed from link 310 at position 85.8.	Network object type: Vehicle	Network object keys: 5738,lane_change_removal,1868.0,45.0,5738,1159,1,310,85.8,outside,False,False
293,57287,e7f625baf34e2ba1ff4eb6437ddb60485be76357709b4e4f6aad86f87883dbf1,Warning	Simulation second 1896.0: After 45.0 seconds of waiting for lane change the vehicle 3798 (on Static Vehicle Route 1113 - 3) was removed from link 329 at position 113.0.	Network object type: Vehicle	Network object keys: 3798,lane_change_removal,1896.0,45.0,3798,1113,3,329,113.0,inside,False,False
295,57713,4223612d280819585ddf0749637995818da8f3305f8f9f2f99115a2ecb42731d,Warning	Simulation second 1898.0: After 45.0 seconds of waiting for lane change the vehicle 8390 (on Static Vehicle Route 1113 - 3) was removed from link 329 at position 108.0.	Network object type: Vehicle	Network object keys: 8390,lane_change_removal,1898.0,45.0,8390,1113,3,329,108.0,inside,False,False
298,58318,f8eb12b040dbe78964c9446305c051762e4af5b911fd261b19abe81a2f5ec58f,Warning	Simulation second 1900.0: After 45.0 seconds of waiting for lane change the vehicle 12381 (on Static Vehicle Route 1157 - 3) was removed from link 117 at position 376.8.	Network object type: Vehicle	Network object keys: 12381,lane_change_removal,1900.0,45.0,12381,1157,3,117,376.8,outside,False,True
300,58768,8cc3749da524ce16144e7fca677b62d295710617f3302824147680bc395de8af,Warning	Simulation second 1919.0: After 45.0 seconds of waiting for lane change the vehicle 5450 (on Static Vehicle Route 1159 - 1) was removed from link 310 at position 85.8.	Network object type: Vehicle	Network object keys: 5450,lane_change_removal,1919.0,45.0,5450,1159,1,310,85.8,outside,False,False
301,59018,6b1d3c517a2c82694b475288449c89819e73c381287296aa26deb2e9fee0a350,Warning	Simulation second 1920.0: After 45.0 seconds of waiting for lane change the vehicle 9829 (on Static Vehicle Route 1159 - 1) was removed from link 310 at position 93.3.	Network object type: Vehicle	Network object keys: 9829,lane_change_removal,1920.0,45.0,9829,1159,1,310,93.3,outside,False,False
304,59640,14698915e4270594803db4904e33d3c1d00c1232e3714d0aaf16b80c1c14d3c2,Warning	Simulation second 1926.0: After 45.0 seconds of waiting for lane change the vehicle 7589 (on Static Vehicle Route 1140 - 1) was removed from link 71 at position 73.4.	Network object type: Vehicle	Network object keys: 7589,lane_change_removal,1926.0,45.0,7589,1140,1,71,73.4,inside,False,False
305,59889,5abcb3bdef62e7d40ae836f8f35c0f367302f870006c5d58888f579dace3e064,Warning	Simulation second 1926.0: After 45.0 seconds of waiting for lane change the vehicle 8664 (on Static Vehicle Route 1140 - 1) was removed from link 71 at position 68.4.	Network object type: Vehicle	Network object keys: 8664,lane_change_removal,1926.0,45.0,8664,1140,1,71,68.4,inside,False,False
313,61381,2feb6bc28818f92ec3882fbab01967d3d99a3ff00386518fdc7c734a6d8ce85e,Warning	Simulation second 1947.0: After 45.0 seconds of waiting for lane change the vehicle 5798 (on Static Vehicle Route 1113 - 3) was removed from link 329 at position 108.0.	Network object type: Vehicle	Network object keys: 5798,lane_change_removal,1947.0,45.0,5798,1113,3,329,108.0,inside,False,False
316,62026,9d53d524b60fb5b45be09a154f568b44237fc696744ee365fdc22209120ccd09,Warning	Simulation second 1969.0: After 45.0 seconds of waiting for lane change the vehicle 9603 (on Static Vehicle Route 1159 - 1) was removed from link 310 at position 85.8.	Network object type: Vehicle	Network object keys: 9603,lane_change_removal,1969.0,45.0,9603,1159,1,310,85.8,outside,False,False
318,62474,6b669701f2ac5b8e9ca3229267e90bd716b3b3710a5b3b7340b227c8e54ed33f,Warning	Simulation second 1972.0: After 45.0 seconds of waiting for lane change the vehicle 9757 (on Static Vehicle Route 1159 - 1) was removed from link 310 at position 93.3.	Network object type: Vehicle	Network object keys: 9757,lane_change_removal,1972.0,45.0,9757,1159,1,310,93.3,outside,False,False
325,63864,1fb4c5f44712f622603842ddcf5302140a277b0c5e01ab43298786052cca4f8c,Warning	Simulation second 1992.0: After 45.0 seconds of waiting for lane change the vehicle 6482 (on Static Vehicle Route 1113 - 3) was removed from link 329 at position 113.0.	Network object type: Vehicle	Network object keys: 6482,lane_change_removal,1992.0,45.0,6482,1113,3,329,113.0,inside,False,False
326,64115,d0f4334193bf6d30f954619b7953cbe7754495449701a5f4b7df83553b96026f,Warning	Simulation second 1996.0: After 45.0 seconds of waiting for lane change the vehicle 7430 (on Static Vehicle Route 1113 - 3) was removed from link 329 at position 108.0.	Network object type: Vehicle	Network object keys: 7430,lane_change_removal,1996.0,45.0,7430,1113,3,329,108.0,inside,False,False
330,64940,5b673d09b90fa57351869d40652572c2f0a5b1dbae36671db5eaa410cd86ef86,Warning	Simulation second 2018.0: After 45.0 seconds of waiting for lane change the vehicle 9973 (on Static Vehicle Route 1159 - 1) was removed from link 310 at position 85.8.	Network object type: Vehicle	Network object keys: 9973,lane_change_removal,2018.0,45.0,9973,1159,1,310,85.8,outside,False,False
339,66689,46e9e5c29886764906c11757dde74ac6099241d779372069268dffec657e574c,Warning	Simulation second 2040.0: After 45.0 seconds of waiting for lane change the vehicle 4709 (on Static Vehicle Route 1113 - 3) was removed from link 329 at position 113.0.	Network object type: Vehicle	Network object keys: 4709,lane_change_removal,2040.0,45.0,4709,1113,3,329,113.0,inside,False,False
347,68226,163f5234a26c5ebfe50c3dd427e5b1b893a7602907982148627af83c284632b9,Warning	Simulation second 2065.0: After 45.0 seconds of waiting for lane change the vehicle 12196 (on Static Vehicle Route 1142 - 2) was removed from link 80 at position 378.8.	Network object type: Vehicle	Network object keys: 12196,lane_change_removal,2065.0,45.0,12196,1142,2,80,378.8,outside,False,True
348,68478,ed58160f47ac237ec5a0e52f8cb70d074e44ea6f37b94e78a4fd37cae733845a,Warning	Simulation second 2067.0: After 45.0 seconds of waiting for lane change the vehicle 10004 (on Static Vehicle Route 1159 - 1) was removed from link 310 at position 85.8.	Network object type: Vehicle	Network object keys: 10004,lane_change_removal,2067.0,45.0,10004,1159,1,310,85.8,outside,False,False
353,69364,ca190973f3d1f8179570f0559e00c830ada2be49a51b05a74d31bcf580f36330,Warning	Simulation second 2074.0: After 45.0 seconds of waiting for lane change the vehicle 5843 (on Static Vehicle Route 1159 - 1) was removed from link 310 at position 93.3.	Network object type: Vehicle	Network object keys: 5843,lane_change_removal,2074.0,45.0,5843,1159,1,310,93.3,outside,False,False
354,69614,b2d9103c7042c57dd158d06a3a47dca8c229a99ed575bda16af0a794baee8f1a,Warning	Simulation second 2075.0: After 45.0 seconds of waiting for lane change the vehicle 6491 (on Static Vehicle Route 1113 - 3) was removed from link 329 at position 108.0.	Network object type: Vehicle	Network object keys: 6491,lane_change_removal,2075.0,45.0,6491,1113,3,329,108.0,inside,False,False
365,71621,754ab97a5e7ffb4951d92a68305cb58934ebda35f8a312eaeb39caad5c84e9ed,Warning	Simulation second 2118.0: After 45.0 seconds of waiting for lane change the vehicle 8907 (on Static Vehicle Route 1159 - 1) was removed from link 310 at position 85.8.	Network object type: Vehicle	Network object keys: 8907,lane_change_removal,2118.0,45.0,8907,1159,1,310,85.8,outside,False,False
367,72069,f031e4f54e59ccd38c1f5d2a514fbe55ab8553fabf15dfcded503151524becd3,Warning	Simulation second 2123.0: After 45.0 seconds of waiting for lane change the vehicle 9870 (on Static Vehicle Route 1159 - 1) was removed from link 310 at position 93.3.	Network object type: Vehicle	Network object keys: 9870,lane_change_removal,2123.0,45.0,9870,1159,1,310,93.3,outside,False,False
