object_type,category,name,sc_no,link,lane,pos,length,port_no,purpose
"detector","approach_stopline","EVAL_DET_C_L18_STOP_L2","3","18","2","470.000","8","1041","Stop-line presence detector for future signal actuation"
"detector","approach_advance","EVAL_DET_C_L18_ADV_L1","3","18","1","368.000","8","1042","Advance detector for arrivals/actuated signal logic"
"detector","approach_advance","EVAL_DET_C_L18_ADV_L2","3","18","2","368.000","8","1043","Advance detector for arrivals/actuated signal logic"
"detector","approach_stopline","EVAL_DET_C_L20_STOP_L1","3","20","1","418.014","8","1044","Stop-line presence detector for future signal actuation"
"detector","approach_stopline","EVAL_DET_C_L20_STOP_L2","3","20","2","418.014","8","1045","Stop-line presence detector for future signal actuation"
"detector","approach_advance","EVAL_DET_C_L20_ADV_L1","3","20","1","316.014","8","1046","Advance detector for arrivals/actuated signal logic"
"detector","approach_advance","EVAL_DET_C_L20_ADV_L2","3","20","2","316.014","8","1047","Advance detector for arrivals/actuated signal logic"
"detector","approach_stopline","EVAL_DET_D_L7_STOP_L1","4","7","1","418.014","8","1048","Stop-line presence detector for future signal actuation"
"detector","approach_stopline","EVAL_DET_D_L7_STOP_L2","4","7","2","418.014","8","1049","Stop-line presence detector for future signal actuation"
"detector","approach_advance","EVAL_DET_D_L7_ADV_L1","4","7","1","316.014","8","1050","Advance detector for arrivals/actuated signal logic"
"detector","approach_advance","EVAL_DET_D_L7_ADV_L2","4","7","2","316.014","8","1051","Advance detector for arrivals/actuated signal logic"
"detector","approach_stopline","EVAL_DET_D_L21_STOP_L1","4","21","1","470.000","8","1052","Stop-line presence detector for future signal actuation"
"detector","approach_stopline","EVAL_DET_D_L21_STOP_L2","4","21","2","470.000","8","1053","Stop-line presence detector for future signal actuation"
"detector","approach_advance","EVAL_DET_D_L21_ADV_L1","4","21","1","368.000","8","1054","Advance detector for arrivals/actuated signal logic"
"detector","approach_advance","EVAL_DET_D_L21_ADV_L2","4","21","2","368.000","8","1055","Advance detector for arrivals/actuated signal logic"
"detector","approach_stopline","EVAL_DET_D_L24_STOP_L1","4","24","1","518.011","8","1056","Stop-line presence detector for future signal actuation"
"detector","approach_stopline","EVAL_DET_D_L24_STOP_L2","4","24","2","518.011","8","1057","Stop-line presence detector for future signal actuation"
"detector","approach_advance","EVAL_DET_D_L24_ADV_L1","4","24","1","416.011","8","1058","Advance detector for arrivals/actuated signal logic"
"detector","approach_advance","EVAL_DET_D_L24_ADV_L2","4","24","2","416.011","8","1059","Advance detector for arrivals/actuated signal logic"
"detector","approach_stopline","EVAL_DET_D_L26_STOP_L1","4","26","1","172.883","8","1060","Stop-line presence detector for future signal actuation"
"detector","approach_stopline","EVAL_DET_D_L26_STOP_L2","4","26","2","172.883","8","1061","Stop-line presence detector for future signal actuation"
"detector","approach_advance","EVAL_DET_D_L26_ADV_L1","4","26","1","70.883","8","1062","Advance detector for arrivals/actuated signal logic"
"detector","approach_advance","EVAL_DET_D_L26_ADV_L2","4","26","2","70.883","8","1063","Advance detector for arrivals/actuated signal logic"
"detector","approach_stopline","EVAL_DET_F_L19_STOP_L1","5","19","1","418.014","8","1064","Stop-line presence detector for future signal actuation"
"detector","approach_stopline","EVAL_DET_F_L19_STOP_L2","5","19","2","418.014","8","1065","Stop-line presence detector for future signal actuation"
"detector","approach_advance","EVAL_DET_F_L19_ADV_L1","5","19","1","316.014","8","1066","Advance detector for arrivals/actuated signal logic"
"detector","approach_advance","EVAL_DET_F_L19_ADV_L2","5","19","2","316.014","8","1067","Advance detector for arrivals/actuated signal logic"
"detector","approach_stopline","EVAL_DET_F_L27_STOP_L1","5","27","1","518.011","8","1068","Stop-line presence detector for future signal actuation"
"detector","approach_stopline","EVAL_DET_F_L27_STOP_L2","5","27","2","518.011","8","1069","Stop-line presence detector for future signal actuation"
"detector","approach_advance","EVAL_DET_F_L27_ADV_L1","5","27","1","416.011","8","1070","Advance detector for arrivals/actuated signal logic"
"detector","approach_advance","EVAL_DET_F_L27_ADV_L2","5","27","2","416.011","8","1071","Advance detector for arrivals/actuated signal logic"
"detector","approach_stopline","EVAL_DET_F_L30_STOP_L1","5","30","1","470.000","8","1072","Stop-line presence detector for future signal actuation"
"detector","approach_stopline","EVAL_DET_F_L30_STOP_L2","5","30","2","470.000","8","1073","Stop-line presence detector for future signal actuation"
"detector","approach_advance","EVAL_DET_F_L30_ADV_L1","5","30","1","368.000","8","1074","Advance detector for arrivals/actuated signal logic"
"detector","approach_advance","EVAL_DET_F_L30_ADV_L2","5","30","2","368.000","8","1075","Advance detector for arrivals/actuated signal logic"
"detector","approach_stopline","EVAL_DET_F_L32_STOP_L1","5","32","1","268.326","8","1076","Stop-line presence detector for future signal actuation"
"detector","approach_stopline","EVAL_DET_F_L32_STOP_L2","5","32","2","268.326","8","1077","Stop-line presence detector for future signal actuation"
"detector","approach_advance","EVAL_DET_F_L32_ADV_L1","5","32","1","166.326","8","1078","Advance detector for arrivals/actuated signal logic"
"detector","approach_advance","EVAL_DET_F_L32_ADV_L2","5","32","2","166.326","8","1079","Advance detector for arrivals/actuated signal logic"
"detector","ramp_meter_queue","EVAL_DET_RM_D_QUEUE_L1","6","25","1","47.721","20","1080","Ramp queue detector for queue override"
"detector","ramp_meter_queue","EVAL_DET_RM_D_QUEUE_L2","6","25","2","47.721","20","1081","Ramp queue detector for queue override"
"detector","ramp_meter_presence","EVAL_DET_RM_D_PRES_L1","6","25","1","155.883","8","1082","Ramp meter stop-line presence detector"
"detector","ramp_meter_presence","EVAL_DET_RM_D_PRES_L2","6","25","2","155.883","8","1083","Ramp meter stop-line presence detector"
"detector","ramp_meter_passage","EVAL_DET_RM_D_PASS_L1","6","25","1","175.883","4","1084","Ramp meter passage/release detector"
"detector","ramp_meter_passage","EVAL_DET_RM_D_PASS_L2","6","25","2","175.883","4","1085","Ramp meter passage/release detector"
"detector","ramp_meter_queue","EVAL_DET_RM_F_QUEUE_L1","7","31","1","71.582","20","1086","Ramp queue detector for queue override"
"detector","ramp_meter_queue","EVAL_DET_RM_F_QUEUE_L2","7","31","2","71.582","20","1087","Ramp queue detector for queue override"
"detector","ramp_meter_presence","EVAL_DET_RM_F_PRES_L1","7","31","1","251.326","8","1088","Ramp meter stop-line presence detector"
"detector","ramp_meter_presence","EVAL_DET_RM_F_PRES_L2","7","31","2","251.326","8","1089","Ramp meter stop-line presence detector"
"detector","ramp_meter_passage","EVAL_DET_RM_F_PASS_L1","7","31","1","271.326","4","1090","Ramp meter passage/release detector"
"detector","ramp_meter_passage","EVAL_DET_RM_F_PASS_L2","7","31","2","271.326","4","1091","Ramp meter passage/release detector"
"detector","offramp_entry","EVAL_DET_OFF_D_ENTRY_L1","4","26","1","35.000","8","1092","Off-ramp arrival detector from freeway"
"detector","offramp_entry","EVAL_DET_OFF_D_ENTRY_L2","4","26","2","35.000","8","1093","Off-ramp arrival detector from freeway"
"detector","offramp_entry","EVAL_DET_OFF_F_ENTRY_L1","5","32","1","35.000","8","1094","Off-ramp arrival detector from freeway"
"detector","offramp_entry","EVAL_DET_OFF_F_ENTRY_L2","5","32","2","35.000","8","1095","Off-ramp arrival detector from freeway"
"detector","freeway_vsl_mainline","EVAL_DET_VSL_EB_430_L1","8","33","1","430.000","10","1096","Mainline detector for VSL/ramp-metering feedback"
"detector","freeway_vsl_mainline","EVAL_DET_VSL_EB_430_L2","8","33","2","430.000","10","1097","Mainline detector for VSL/ramp-metering feedback"
"detector","freeway_vsl_mainline","EVAL_DET_VSL_EB_880_L1","8","33","1","880.000","10","1098","Mainline detector for VSL/ramp-metering feedback"
"detector","freeway_vsl_mainline","EVAL_DET_VSL_EB_880_L2","8","33","2","880.000","10","1099","Mainline detector for VSL/ramp-metering feedback"
"detector","freeway_vsl_mainline","EVAL_DET_VSL_EB_1450_L1","8","33","1","1450.000","10","1100","Mainline detector for VSL/ramp-metering feedback"
"detector","freeway_vsl_mainline","EVAL_DET_VSL_EB_1450_L2","8","33","2","1450.000","10","1101","Mainline detector for VSL/ramp-metering feedback"
"detector","freeway_vsl_mainline","EVAL_DET_VSL_EB_1680_L1","8","33","1","1680.000","10","1102","Mainline detector for VSL/ramp-metering feedback"
"detector","freeway_vsl_mainline","EVAL_DET_VSL_EB_1680_L2","8","33","2","1680.000","10","1103","Mainline detector for VSL/ramp-metering feedback"
"detector","freeway_vsl_mainline","EVAL_DET_VSL_EB_2070_L1","8","33","1","2070.000","10","1104","Mainline detector for VSL/ramp-metering feedback"
"detector","freeway_vsl_mainline","EVAL_DET_VSL_EB_2070_L2","8","33","2","2070.000","10","1105","Mainline detector for VSL/ramp-metering feedback"
"detector","freeway_vsl_mainline","EVAL_DET_VSL_EB_2450_L1","8","33","1","2450.000","10","1106","Mainline detector for VSL/ramp-metering feedback"
"detector","freeway_vsl_mainline","EVAL_DET_VSL_EB_2450_L2","8","33","2","2450.000","10","1107","Mainline detector for VSL/ramp-metering feedback"
"detector","freeway_vsl_mainline","EVAL_DET_VSL_WB_430_L1","9","34","1","430.000","10","1108","Mainline detector for VSL/ramp-metering feedback"
"detector","freeway_vsl_mainline","EVAL_DET_VSL_WB_430_L2","9","34","2","430.000","10","1109","Mainline detector for VSL/ramp-metering feedback"
"detector","freeway_vsl_mainline","EVAL_DET_VSL_WB_1200_L1","9","34","1","1200.000","10","1110","Mainline detector for VSL/ramp-metering feedback"
"detector","freeway_vsl_mainline","EVAL_DET_VSL_WB_1200_L2","9","34","2","1200.000","10","1111","Mainline detector for VSL/ramp-metering feedback"
"detector","freeway_vsl_mainline","EVAL_DET_VSL_WB_1450_L1","9","34","1","1450.000","10","1112","Mainline detector for VSL/ramp-metering feedback"
"detector","freeway_vsl_mainline","EVAL_DET_VSL_WB_1450_L2","9","34","2","1450.000","10","1113","Mainline detector for VSL/ramp-metering feedback"
"detector","freeway_vsl_mainline","EVAL_DET_VSL_WB_1680_L1","9","34","1","1680.000","10","1114","Mainline detector for VSL/ramp-metering feedback"
"detector","freeway_vsl_mainline","EVAL_DET_VSL_WB_1680_L2","9","34","2","1680.000","10","1115","Mainline detector for VSL/ramp-metering feedback"
"detector","freeway_vsl_mainline","EVAL_DET_VSL_WB_2430_L1","9","34","1","2430.000","10","1116","Mainline detector for VSL/ramp-metering feedback"
"detector","freeway_vsl_mainline","EVAL_DET_VSL_WB_2430_L2","9","34","2","2430.000","10","1117","Mainline detector for VSL/ramp-metering feedback"
"detector","freeway_vsl_mainline","EVAL_DET_VSL_WB_2600_L1","9","34","1","2600.000","10","1118","Mainline detector for VSL/ramp-metering feedback"
"detector","freeway_vsl_mainline","EVAL_DET_VSL_WB_2600_L2","9","34","2","2600.000","10","1119","Mainline detector for VSL/ramp-metering feedback"
"dataCollectionPoint","ramp_flow_speed","EVAL_DCP_RAMP_D_ON_P25_L1","","25","1","47.721","","","Ramp flow/speed data collection on D on-ramp"
"dataCollectionPoint","ramp_flow_speed","EVAL_DCP_RAMP_D_ON_P25_L2","","25","2","47.721","","","Ramp flow/speed data collection on D on-ramp"
"dataCollectionPoint","ramp_flow_speed","EVAL_DCP_RAMP_D_ON_P50_L1","","25","1","95.441","","","Ramp flow/speed data collection on D on-ramp"
"dataCollectionPoint","ramp_flow_speed","EVAL_DCP_RAMP_D_ON_P50_L2","","25","2","95.441","","","Ramp flow/speed data collection on D on-ramp"
"dataCollectionPoint","ramp_flow_speed","EVAL_DCP_RAMP_D_ON_P75_L1","","25","1","143.162","","","Ramp flow/speed data collection on D on-ramp"
"dataCollectionPoint","ramp_flow_speed","EVAL_DCP_RAMP_D_ON_P75_L2","","25","2","143.162","","","Ramp flow/speed data collection on D on-ramp"
"dataCollectionPoint","ramp_flow_speed","EVAL_DCP_RAMP_D_OFF_P25_L1","","26","1","47.721","","","Ramp flow/speed data collection on D off-ramp"
"dataCollectionPoint","ramp_flow_speed","EVAL_DCP_RAMP_D_OFF_P25_L2","","26","2","47.721","","","Ramp flow/speed data collection on D off-ramp"
"dataCollectionPoint","ramp_flow_speed","EVAL_DCP_RAMP_D_OFF_P50_L1","","26","1","95.441","","","Ramp flow/speed data collection on D off-ramp"
"dataCollectionPoint","ramp_flow_speed","EVAL_DCP_RAMP_D_OFF_P50_L2","","26","2","95.441","","","Ramp flow/speed data collection on D off-ramp"
"dataCollectionPoint","ramp_flow_speed","EVAL_DCP_RAMP_D_OFF_P75_L1","","26","1","143.162","","","Ramp flow/speed data collection on D off-ramp"
"dataCollectionPoint","ramp_flow_speed","EVAL_DCP_RAMP_D_OFF_P75_L2","","26","2","143.162","","","Ramp flow/speed data collection on D off-ramp"
"dataCollectionPoint","ramp_flow_speed","EVAL_DCP_RAMP_F_ON_P25_L1","","31","1","71.582","","","Ramp flow/speed data collection on F on-ramp"
"dataCollectionPoint","ramp_flow_speed","EVAL_DCP_RAMP_F_ON_P25_L2","","31","2","71.582","","","Ramp flow/speed data collection on F on-ramp"
"dataCollectionPoint","ramp_flow_speed","EVAL_DCP_RAMP_F_ON_P50_L1","","31","1","143.163","","","Ramp flow/speed data collection on F on-ramp"
"dataCollectionPoint","ramp_flow_speed","EVAL_DCP_RAMP_F_ON_P50_L2","","31","2","143.163","","","Ramp flow/speed data collection on F on-ramp"
"dataCollectionPoint","ramp_flow_speed","EVAL_DCP_RAMP_F_ON_P75_L1","","31","1","214.745","","","Ramp flow/speed data collection on F on-ramp"
"dataCollectionPoint","ramp_flow_speed","EVAL_DCP_RAMP_F_ON_P75_L2","","31","2","214.745","","","Ramp flow/speed data collection on F on-ramp"
"dataCollectionPoint","ramp_flow_speed","EVAL_DCP_RAMP_F_OFF_P25_L1","","32","1","71.582","","","Ramp flow/speed data collection on F off-ramp"
"dataCollectionPoint","ramp_flow_speed","EVAL_DCP_RAMP_F_OFF_P25_L2","","32","2","71.582","","","Ramp flow/speed data collection on F off-ramp"
"dataCollectionPoint","ramp_flow_speed","EVAL_DCP_RAMP_F_OFF_P50_L1","","32","1","143.163","","","Ramp flow/speed data collection on F off-ramp"
"dataCollectionPoint","ramp_flow_speed","EVAL_DCP_RAMP_F_OFF_P50_L2","","32","2","143.163","","","Ramp flow/speed data collection on F off-ramp"
"dataCollectionPoint","ramp_flow_speed","EVAL_DCP_RAMP_F_OFF_P75_L1","","32","1","214.745","","","Ramp flow/speed data collection on F off-ramp"
"dataCollectionPoint","ramp_flow_speed","EVAL_DCP_RAMP_F_OFF_P75_L2","","32","2","214.745","","","Ramp flow/speed data collection on F off-ramp"
"dataCollectionPoint","freeway_bottleneck_flow_speed","EVAL_DCP_FW_E_BOT_430_L1","","33","1","430.000","","","Freeway bottleneck data collection around D/F merge-diverge areas"
"dataCollectionPoint","freeway_bottleneck_flow_speed","EVAL_DCP_FW_E_BOT_430_L2","","33","2","430.000","","","Freeway bottleneck data collection around D/F merge-diverge areas"
"dataCollectionPoint","freeway_bottleneck_flow_speed","EVAL_DCP_FW_E_BOT_880_L1","","33","1","880.000","","","Freeway bottleneck data collection around D/F merge-diverge areas"
"dataCollectionPoint","freeway_bottleneck_flow_speed","EVAL_DCP_FW_E_BOT_880_L2","","33","2","880.000","","","Freeway bottleneck data collection around D/F merge-diverge areas"
"dataCollectionPoint","freeway_bottleneck_flow_speed","EVAL_DCP_FW_E_BOT_1680_L1","","33","1","1680.000","","","Freeway bottleneck data collection around D/F merge-diverge areas"
"dataCollectionPoint","freeway_bottleneck_flow_speed","EVAL_DCP_FW_E_BOT_1680_L2","","33","2","1680.000","","","Freeway bottleneck data collection around D/F merge-diverge areas"
"dataCollectionPoint","freeway_bottleneck_flow_speed","EVAL_DCP_FW_E_BOT_2070_L1","","33","1","2070.000","","","Freeway bottleneck data collection around D/F merge-diverge areas"
"dataCollectionPoint","freeway_bottleneck_flow_speed","EVAL_DCP_FW_E_BOT_2070_L2","","33","2","2070.000","","","Freeway bottleneck data collection around D/F merge-diverge areas"
"dataCollectionPoint","freeway_bottleneck_flow_speed","EVAL_DCP_FW_W_BOT_430_L1","","34","1","430.000","","","Freeway bottleneck data collection around D/F merge-diverge areas"
"dataCollectionPoint","freeway_bottleneck_flow_speed","EVAL_DCP_FW_W_BOT_430_L2","","34","2","430.000","","","Freeway bottleneck data collection around D/F merge-diverge areas"
"dataCollectionPoint","freeway_bottleneck_flow_speed","EVAL_DCP_FW_W_BOT_1200_L1","","34","1","1200.000","","","Freeway bottleneck data collection around D/F merge-diverge areas"
"dataCollectionPoint","freeway_bottleneck_flow_speed","EVAL_DCP_FW_W_BOT_1200_L2","","34","2","1200.000","","","Freeway bottleneck data collection around D/F merge-diverge areas"
"dataCollectionPoint","freeway_bottleneck_flow_speed","EVAL_DCP_FW_W_BOT_1680_L1","","34","1","1680.000","","","Freeway bottleneck data collection around D/F merge-diverge areas"
"dataCollectionPoint","freeway_bottleneck_flow_speed","EVAL_DCP_FW_W_BOT_1680_L2","","34","2","1680.000","","","Freeway bottleneck data collection around D/F merge-diverge areas"
"dataCollectionPoint","freeway_bottleneck_flow_speed","EVAL_DCP_FW_W_BOT_2430_L1","","34","1","2430.000","","","Freeway bottleneck data collection around D/F merge-diverge areas"
"dataCollectionPoint","freeway_bottleneck_flow_speed","EVAL_DCP_FW_W_BOT_2430_L2","","34","2","2430.000","","","Freeway bottleneck data collection around D/F merge-diverge areas"
"queueCounter","ramp_meter_queue","EVAL_QC_RM_D_ON","","25","","170.883","","","D on-ramp queue counter for metering queue override"
"queueCounter","ramp_meter_queue","EVAL_QC_RM_F_ON","","31","","266.326","","","F on-ramp queue counter for metering queue override"
"queueCounter","freeway_queue","EVAL_QC_FW_E_D","","33","","880.000","","","EB freeway queue/spillback around D merge-diverge"
"queueCounter","freeway_queue","EVAL_QC_FW_E_F","","33","","2070.000","","","EB freeway queue/spillback around F merge-diverge"
"queueCounter","freeway_queue","EVAL_QC_FW_W_F","","34","","1200.000","","","WB freeway queue/spillback around F merge-diverge"
"queueCounter","freeway_queue","EVAL_QC_FW_W_D","","34","","2430.000","","","WB freeway queue/spillback around D merge-diverge"
